disease,medicine
Flu,Paracetamol
Common Cold,Cetirizine
Migraine,Ibuprofen
Dengue,Paracetamol
Malaria,Artemether
Typhoid,Azithromycin
Covid-19,Paracetamol
Asthma,Salbutamol Inhaler
Bronchitis,Cough Syrup
Pneumonia,Amoxicillin
Tuberculosis,Rifampicin
Chickenpox,Acyclovir
Measles,Paracetamol
Mumps,Ibuprofen
Hepatitis,Antiviral Medication
Diabetes,Metformin
Hypertension,Amlodipine
Heart Attack,Aspirin
Stroke,Aspirin
Allergy,Loratadine
Food Poisoning,ORS
Gastritis,Omeprazole
Ulcer,Antacid
Appendicitis,Antibiotics
Kidney Stones,Ibuprofen
Urinary Infection,Nitrofurantoin
Arthritis,Diclofenac
Osteoporosis,Calcium Supplements
Anemia,Iron Tablets
Thyroid Disorder,Levothyroxine
Depression,Fluoxetine
Anxiety,Diazepam
Insomnia,Melatonin
Sinusitis,Amoxicillin
Ear Infection,Amoxicillin
Eye Infection,Eye Drops
Conjunctivitis,Antibiotic Eye Drops
Skin Allergy,Hydrocortisone Cream
Psoriasis,Coal Tar Cream
Eczema,Moisturizing Cream
Acne,Benzoyl Peroxide
Hair Loss,Minoxidil
Dandruff,Ketoconazole Shampoo
Obesity,Orlistat
Dehydration,ORS
Heat Stroke,Electrolyte Solution
Motion Sickness,Dimenhydrinate
Vertigo,Meclizine
Back Pain,Ibuprofen
Neck Pain,Diclofenac